uniqueid,org,manager,email,lastname,firstname,telephone,location   
-----,-----------
aa10127,Corporate Executive,sa15346,Alice.Adams@openptk.com,Adams,Alice,303-191-5506,loc34
ra65029,Information Systems,rb5068,Richard.Adler@openptk.com,Adler,Richard,303-364-1432,loc37
pa10130,Customer Service,dl9637,Peter.Ahern@openptk.com,Ahern,Peter,303-982-8764,loc30
sa69620,Customer Relations,gm84036,Saherish.Akram@openptk.com,Akram,Saherish,303-571-6306,loc31
ha4922,Customer Relations,lj39201,Helena.Allis@openptk.com,Allis,Helena,303-564-8680,loc33
aa4427,Corporate Executive,sa15346,Amy.Anderson@openptk.com,Anderson,Amy,303-191-5506,loc32
sa15346,Corporate Executive,ITAdministrator,Scott.Anderson@openptk.com,Anderson,Scott,303-191-5506,loc34
ja1324,Corporate Executive,sa15346,John.Andrews@openptk.com,Andrews,John,303-191-5506,loc35
ma863,Procurement,lm31932,Marc.Angoulvent@openptk.com,Angoulvent,Marc,303-257-8485,loc36
da47195,Marketing,jm7605,Douglas.Armstrong@openptk.com,Armstrong,Douglas,303-979-7979,loc37
bb10310,Corporate Executive,sa15346,Ben.Bach@openptk.com,Bach,Ben,303-191-5506,loc38
rb5068,Information Systems,aa10127,Robert.Bahr@openptk.com,Bahr,Robert,303-191-5506,loc39
ab14156,Benefits,dm11050,Angela.Baker@openptk.com,Baker,Angela,303-899-4914,loc30
bb84946,Corporate Executive,sa15346,Bob.Baker@openptk.com,Baker,Bob,303-191-5506,loc31
lb5722,Credit,fm50746,Luisa.Ballestar.March@openptk.com,Ballestar March,Luisa,303-304-8635,loc32
tb6035,Corporate Executive,sa15346,Ted.Banks@openptk.com,Banks,Ted,303-191-5506,loc33
rb11668,Sales,aw89027,Rachael.Barker@openptk.com,Barker,Rachael,303-871-6231,loc34
jb5392,Mortgage,ja1324,Jim.Barnes@openptk.com,Barnes,Jim,303-764-4862,loc35
mb11644,Customer Service,dl9637,Martin.Barrett@openptk.com,Barrett,Martin,303-640-5289,loc36
db8800,Sales,aw89027,David.Barry@openptk.com,Barry,David,303-744-6092,loc37
pb87682,Customer Relations,lj39201,Patrick.Barry@openptk.com,Barry,Patrick,303-461-9937,loc38
db4532,Corporate Workplace,nc6214,Daniel.Bassett@openptk.com,Bassett,Daniel,303-381-6962,loc39
eb83526,Customer Service,dl9637,Eimear.Bell@openptk.com,Bell,Eimear,303-722-3900,loc30
ab24717,Customer Relations,gm84036,Anne.Bennett@openptk.com,Bennett,Anne,303-312-3821,loc31
fb9582,Customer Relations,lj39201,Federica.Biancoli@openptk.com,Biancoli,Federica,303-322-1654,loc32
jb15621,Services,lh9189,Jamie.Bignal@openptk.com,Bignal,Jamie,303-977-6708,loc33
ab37603,Investment Banking,sh9168,Allan.Birney@openptk.com,Birney,Allan,303-910-4987,loc34
jb8578,Services,lh9189,John.Paul.Boland@openptk.com,Boland,John Paul,303-587-9939,loc35
mb63289,IT Compliance,rh6300,Michelle.Boland@openptk.com,Boland,Michelle,303-421-2578,loc36
rb28628,Corporate Workplace,lr11655,Rita.Bonass@openptk.com,Bonass,Rita,303-738-0436,loc37
pb14724,Credit,fm50746,Piotr.Boruc@openptk.com,Boruc,Piotr,303-874-1549,loc38
db60825,Investment Banking,sh9168,Denise.Boyd@openptk.com,Boyd,Denise,303-695-2896,loc39
cb5981,Corporate Executive,sa15346,Chuck.Boyle@openptk.com,Boyle,Chuck,303-191-5506,loc30
jb2284,Customer Relations,gm84036,Jennifer.Brady@openptk.com,Brady,Jennifer,303-868-8785,loc31
cb12677,Customer Relations,gm84036,Catherine.Branagan@openptk.com,Branagan,Catherine,303-983-1995,loc32
wb20370,Corporate Workplace,gm51383,Walter.Brazil@openptk.com,Brazil,Walter,303-791-4919,loc33
db64628,Customer Relations,gm84036,Deirdre.Breheny@openptk.com,Breheny,Deirdre,303-227-9009,loc35
cb4054,Customer Relations,gm84036,Caroline.Brennan@openptk.com,Brennan,Caroline,303-185-8146,loc34
eb59755,Procurement,lm31932,Edel.Brennan@openptk.com,Brennan,Edel,303-912-7637,loc36
kb30671,Services,lh9189,Karl.Brennan@openptk.com,Brennan,Karl,303-471-6883,loc37
pb82129,Investment Banking,sh9168,Paula.Brennan@openptk.com,Brennan,Paula,303-416-2999,loc38
tb64573,Procurement,lm31932,Tracy.Brennan@openptk.com,Brennan,Tracy,303-392-7717,loc39
kb69243,Customer Service,dl9637,Kathy.Breslin@openptk.com,Breslin,Kathy,303-581-4373,loc30
sb85670,Corporate Workplace,em66961,Stephanie.Brophy@openptk.com,Brophy,Stephanie,303-740-3957,loc31
bb84188,Information Systems,rb5068,Barbara.Browne@openptk.com,Browne,Barbara,303-927-3229,loc31
eb83970,Marketing,jm7605,Emer.Browne@openptk.com,Browne,Emer,303-754-6572,loc33
lb30361,Marketing,jm7605,Louise.Browne@openptk.com,Browne,Louise,303-387-5625,loc34
cb8849,Services,lh9189,Catriona.Buckley@openptk.com,Buckley,Catriona,303-661-3536,loc35
ib87290,Investment Banking,sh9168,Ian.Buckley@openptk.com,Buckley,Ian,303-655-5279,loc37
ab15357,Services,cg14655,Andrew.Budenberg@openptk.com,Budenberg,Andrew,303-524-7649,loc38
db24731,Legal,je61475,Diana.Burke@openptk.com,Burke,Diana,303-598-5048,loc38
rb68111,Investment Banking,sh9168,Ronan.Burke@openptk.com,Burke,Ronan,303-354-0097,loc30
ab20082,Customer Service,dl9637,Anne.Butler@openptk.com,Butler,Anne,303-592-5234,loc31
vb17261,Customer Service,dl9637,Vincent.Butler@openptk.com,Butler,Vincent,303-193-8786,loc38
cb58796,Investment Banking,sh9168,Carolyn.Byrne@openptk.com,Byrne,Carolyn,303-343-8995,loc33
jb60729,Legal,je61475,Joanne.Byrne@openptk.com,Byrne,Joanne,303-864-5777,loc34
sb60409,Investment Banking,sh9168,Stephen.Byrne@openptk.com,Byrne,Stephen,303-901-1687,loc35
fc23334,Services,lh9189,Fiona.Cahill@openptk.com,Cahill,Fiona,303-535-4384,loc34
dc30939,Corporate Workplace,co11173,Donal.Campion@openptk.com,Campion,Donal,303-415-7041,loc35
fc51218,Legal,je61475,Fergus.Campion@openptk.com,Campion,Fergus,303-492-5170,loc34
lc61636,Customer Relations,gm84036,Laura.Cannon@openptk.com,Cannon,Laura,303-310-2949,loc36
ec17271,Legal,je61475,Elaine.Carpenter@openptk.com,Carpenter,Elaine,303-790-3205,loc38
nc6214,Corporate Workplace,co11173,Niall.Carter@openptk.com,Carter,Niall,303-846-2225,loc39
pc8589,Credit,fm50746,Patrick.Casey@openptk.com,Casey,Patrick,303-891-9822,loc30
ac39435,Customer Service,dl9637,Anna.Cassidy@openptk.com,Cassidy,Anna,303-879-0903,loc31
mc85795,Legal,je61475,Maura.Cassidy@openptk.com,Cassidy,Maura,303-566-4964,loc32
cc5164,Corporate Workplace,co11173,Caroline.Caulfield@openptk.com,Caulfield,Caroline,303-182-2740,loc33
sc69659,Corporate Workplace,kc13254,Sarah.Jane.Chaney@openptk.com,Chaney,Sarah Jane,303-763-8393,loc34
jc5104,Sales,aw89027,John.Clarke@openptk.com,Clarke,John,303-239-9594,loc39
lc83855,Information Systems,rb5068,Linda.Clarke@openptk.com,Clarke,Linda,303-870-9558,loc36
ac6410,Legal,je61475,Amy.Colley@openptk.com,Colley,Amy,303-809-3013,loc37
sc13493,Investment Banking,sh9168,Stuart.Collins@openptk.com,Collins,Stuart,303-248-2654,loc38
kc6801,Benefits,dm11050,Kevin.Connaughton@openptk.com,Connaughton,Kevin,303-229-3208,loc39
sc14065,Procurement,lm31932,Sean.Connolly@openptk.com,Connolly,Sean,303-319-3096,loc30
bc81070,Customer Relations,gm84036,Ben.Conroy@openptk.com,Conroy,Ben,303-977-1973,loc31
jc61605,Corporate Workplace,lr11655,Joseph.Conroy@openptk.com,Conroy,Joseph,303-964-0380,loc32
bc89607,Marketing,jm7605,Barry.Conway@openptk.com,Conway,Barry,303-944-0946,loc33
mc81572,Legal,je61475,Mark.Conway@openptk.com,Conway,Mark,303-250-1486,loc34
mc88873,Customer Relations,gm84036,Mark.Conway@openptk.com,Conway,Mark,303-585-5626,loc35
ec15596,Legal,je61475,Ellen.Cooke@openptk.com,Cooke,Ellen,303-277-3519,loc36
dc10221,IT Compliance,rh6300,Denise.Cooling@openptk.com,Cooling,Denise,303-698-6659,loc37
kc13254,Corporate Workplace,co11173,Katie.Corless@openptk.com,Corless,Katie,303-507-1834,loc38
ac14281,Corporate Workplace,em66961,Andrew.Corr@openptk.com,Corr,Andrew,303-178-5697,loc39
cc15497,Mortgage,jb5392,Colm.Corrigan@openptk.com,Corrigan,Colm,303-958-9446,loc35
wc80021,Services,lh9189,Willie.Costello@openptk.com,Costello,Willie,303-540-6350,loc30
ec35204,Customer Service,dl9637,Eamonn.Costelloe@openptk.com,Costelloe,Eamonn,303-379-2184,loc31
nc4338,Customer Service,dl9637,Neal.Coughlan@openptk.com,Coughlan,Neal,303-540-1279,loc32
ac69663,Information Systems,rb5068,Alan.Cox@openptk.com,Cox,Alan,303-444-2852,loc33
pc18092,Benefits,dm11050,Pauline.Coyne@openptk.com,Coyne,Pauline,303-938-6884,loc34
pc19956,Credit,fm50746,Peter.Coyne@openptk.com,Coyne,Peter,303-150-0053,loc35
sc17640,Corporate Workplace,nc6214,Sandra.Craig@openptk.com,Craig,Sandra,303-102-3964,loc36
gc84089,Benefits,dm11050,Garrett.Creagh@openptk.com,Creagh,Garrett,303-801-3464,loc37
lc9974,IT Compliance,rh6300,Laura.Creagh@openptk.com,Creagh,Laura,303-165-8655,loc38
jc655,Credit,fm50746,John.Cronin@openptk.com,Cronin,John,303-339-3554,loc39
kc6591,Customer Service,dl9637,Kieran.Cronin@openptk.com,Cronin,Kieran,303-539-1855,loc30
mc10982,Information Systems,rb5068,Mark.Cronin@openptk.com,Cronin,Mark,303-148-6947,loc31
dc68048,Corporate Workplace,lr11655,David.Crowe@openptk.com,Crowe,David,303-294-8951,loc32
ac69686,Credit,fm50746,Agnes.Csorgo@openptk.com,Csorgo,Agnes,303-360-2595,loc33
dc14969,Customer Relations,gm84036,Denis.Culligan@openptk.com,Culligan,Denis,303-657-9962,loc34
